School,School Code,Attendance Year,School Type,School Category,EQ Zone,Region,Local Government Area,FTE Days Attended,Possible Attendance Days,Attendance Rate
James Nash State High School,2137,2014,State High School,Secondary,Rural,North Coast,Gympie (R),90060,101263,88.9%
James Nash State High School,2137,2015,State High School,Secondary,Rural,North Coast,Gympie (R),109234.5,121082,90.2%
Jandowae Prep-10 State School,537,2011,State School,Combined,Rural,Darling Downs South West,Western Downs (R),10639.5,11714,90.8%
Jandowae Prep-10 State School,537,2012,State School,Combined,Rural,Darling Downs South West,Western Downs (R),11570.5,12331,93.8%
Jandowae Prep-10 State School,537,2013,State School,Combined,Rural,Darling Downs South West,Western Downs (R),11235,12231,91.9%
Jandowae Prep-10 State School,537,2014,State School,Combined,Rural,Darling Downs South West,Western Downs (R),11539,12569,91.8%
Jandowae Prep-10 State School,537,2015,State School,Combined,Rural,Darling Downs South West,Western Downs (R),14649.5,15925,92.0%
Jarvisfield State School,798,2011,State School,Primary,Rural,North Queensland,Burdekin (S),1721,1980,86.9%
Jarvisfield State School,798,2012,State School,Primary,Rural,North Queensland,Burdekin (S),2687,2827,95.0%
Jarvisfield State School,798,2013,State School,Primary,Rural,North Queensland,Burdekin (S),1904.5,2149,88.6%
Jarvisfield State School,798,2014,State School,Primary,Rural,North Queensland,Burdekin (S),1821,2021,90.1%
Jarvisfield State School,798,2015,State School,Primary,Rural,North Queensland,Burdekin (S),1857,2051,90.5%
Jericho State School,206,2011,State School,Primary,Remote,Central Queensland,Barcaldine (R),1285.5,1386,92.7%
Jericho State School,206,2012,State School,Primary,Remote,Central Queensland,Barcaldine (R),1243,1330,93.5%
Jericho State School,206,2013,State School,Primary,Remote,Central Queensland,Barcaldine (R),1150.5,1255,91.7%
Jericho State School,206,2014,State School,Primary,Remote,Central Queensland,Barcaldine (R),1727.5,1853,93.2%
Jericho State School,206,2015,State School,Primary,Remote,Central Queensland,Barcaldine (R),1650,1731,95.3%
Jimboomba State School,604,2011,State School,Primary,Metropolitan,South East,Logan (C),79847,85965,92.9%
Jimboomba State School,604,2012,State School,Primary,Metropolitan,South East,Logan (C),72644,78266.5,92.8%
Jimboomba State School,604,2013,State School,Primary,Metropolitan,South East,Logan (C),67022,73096.5,91.7%
Jimboomba State School,604,2014,State School,Primary,Metropolitan,South East,Logan (C),70892,77298,91.7%
Jimboomba State School,604,2015,State School,Primary,Metropolitan,South East,Logan (C),66178,71663,92.3%
Jimbour State School,1558,2011,State School,Primary,Rural,Darling Downs South West,Western Downs (R),1857.5,2079,89.3%
Jimbour State School,1558,2012,State School,Primary,Rural,Darling Downs South West,Western Downs (R),1427.5,1518,94.0%
Jimbour State School,1558,2013,State School,Primary,Rural,Darling Downs South West,Western Downs (R),1515,1608,94.2%
Jimbour State School,1558,2014,State School,Primary,Rural,Darling Downs South West,Western Downs (R),2870.5,3092,92.8%
Jimbour State School,1558,2015,State School,Primary,Rural,Darling Downs South West,Western Downs (R),1736,1825,95.1%
Jindalee State School,402,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),79799,83400,95.7%
Jindalee State School,402,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),78411,82487,95.1%
Jindalee State School,402,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),76552,80995.5,94.5%
Jindalee State School,402,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),81279.5,86175,94.3%
Jindalee State School,402,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),75172,79088,95.0%
Jinibara State School,180,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),62179.5,66685,93.2%
Jinibara State School,180,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),61124,65580,93.2%
Jinibara State School,180,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),61027.5,65759.5,92.8%
Jinibara State School,180,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),61530,66542.5,92.5%
Jinibara State School,180,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),58379.5,63179,92.4%
Jondaryan State School,64,2011,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),2431.5,2640,92.1%
Jondaryan State School,64,2012,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),2246,2400,93.6%
Jondaryan State School,64,2013,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),2683,2867,93.6%
Jondaryan State School,64,2014,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),3033.5,3194,95.0%
Jondaryan State School,64,2015,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),3468.5,3627.5,95.6%
Jones Hill State School,649,2011,State School,Primary,Rural,North Coast,Gympie (R),39653,42687,92.9%
Jones Hill State School,649,2012,State School,Primary,Rural,North Coast,Gympie (R),37425.5,40390.5,92.7%
Jones Hill State School,649,2013,State School,Primary,Rural,North Coast,Gympie (R),33673.5,36160.5,93.1%
Jones Hill State School,649,2014,State School,Primary,Rural,North Coast,Gympie (R),33892,36237,93.5%
Jones Hill State School,649,2015,State School,Primary,Rural,North Coast,Gympie (R),32398.5,34540,93.8%
Julatten State School,1809,2011,State School,Primary,Rural,Far North Queensland,Mareeba (S),8060.5,9141,88.2%
Julatten State School,1809,2012,State School,Primary,Rural,Far North Queensland,Mareeba (S),6571,7210,91.1%
Julatten State School,1809,2013,State School,Primary,Rural,Far North Queensland,Mareeba (S),6275.5,6951,90.3%
Julatten State School,1809,2014,State School,Primary,Rural,Far North Queensland,Mareeba (S),5270.5,5749,91.7%
Julatten State School,1809,2015,State School,Primary,Rural,Far North Queensland,Mareeba (S),5051.5,5422,93.2%
Julia Creek State School,1289,2011,State School,Primary,Remote,North Queensland,McKinlay (S),3664.5,4017,91.2%
Julia Creek State School,1289,2012,State School,Primary,Remote,North Queensland,McKinlay (S),3965,4329,91.6%
Julia Creek State School,1289,2013,State School,Primary,Remote,North Queensland,McKinlay (S),3100,3544,87.5%
Julia Creek State School,1289,2014,State School,Primary,Remote,North Queensland,McKinlay (S),3476.5,3867,89.9%
Julia Creek State School,1289,2015,State School,Primary,Remote,North Queensland,McKinlay (S),3272.5,3591,91.1%
Junction Park State School,514,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),33051.5,35378,93.4%
Junction Park State School,514,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),32074.5,34215,93.7%
Junction Park State School,514,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),35486.5,37789,93.9%
Junction Park State School,514,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),41488.5,44387,93.5%
Junction Park State School,514,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),38834.5,41471,93.6%
Jundah State School,910,2011,State School,Primary,Remote,Central Queensland,Barcoo (S),1163.5,1287,90.4%
Jundah State School,910,2012,State School,Primary,Remote,Central Queensland,Barcoo (S),732.5,846,86.6%
Jundah State School,910,2013,State School,Primary,Remote,Central Queensland,Barcoo (S),549.5,652,84.3%
Jundah State School,910,2014,State School,Primary,Remote,Central Queensland,Barcoo (S),904,941,96.1%
Jundah State School,910,2015,State School,Primary,Remote,Central Queensland,Barcoo (S),1023.5,1060,96.6%
Kaimkillenbun State School,1187,2011,State School,Primary,Rural,Darling Downs South West,Western Downs (R),2467,2588,95.3%
Kaimkillenbun State School,1187,2012,State School,Primary,Rural,Darling Downs South West,Western Downs (R),2203,2302,95.7%
Kaimkillenbun State School,1187,2013,State School,Primary,Rural,Darling Downs South West,Western Downs (R),2561,2681,95.5%
Kaimkillenbun State School,1187,2014,State School,Primary,Rural,Darling Downs South West,Western Downs (R),3276.5,3495,93.7%
Kaimkillenbun State School,1187,2015,State School,Primary,Rural,Darling Downs South West,Western Downs (R),2833,3030,93.5%
Kairi State School,1279,2011,State School,Primary,Rural,Far North Queensland,Tablelands (R),6144,6710,91.6%
Kairi State School,1279,2012,State School,Primary,Rural,Far North Queensland,Tablelands (R),6022.5,6557,91.8%
Kairi State School,1279,2013,State School,Primary,Rural,Far North Queensland,Tablelands (R),6825,7504,91.0%
Kairi State School,1279,2014,State School,Primary,Rural,Far North Queensland,Tablelands (R),7820,8329,93.9%
Kairi State School,1279,2015,State School,Primary,Rural,Far North Queensland,Tablelands (R),8364.5,9091,92.0%
Kalamia State School,1494,2011,State School,Primary,Rural,North Queensland,Burdekin (S),3365.5,3678,91.5%
Kalamia State School,1494,2012,State School,Primary,Rural,North Queensland,Burdekin (S),2862,3060,93.5%
Kalamia State School,1494,2013,State School,Primary,Rural,North Queensland,Burdekin (S),874,929,94.1%
Kalamia State School,1494,2014,State School,Primary,Rural,North Queensland,Burdekin (S),1088.5,1168,93.2%
Kalamia State School,1494,2015,State School,Primary,Rural,North Queensland,Burdekin (S),792,846,93.6%
Kalbar State School,343,2011,State School,Primary,Rural,South East,Scenic Rim (R),21954.5,23038,95.3%
Kalbar State School,343,2012,State School,Primary,Rural,South East,Scenic Rim (R),21850.5,23257,94.0%
Kalbar State School,343,2013,State School,Primary,Rural,South East,Scenic Rim (R),19172.5,20518,93.4%
Kalbar State School,343,2014,State School,Primary,Rural,South East,Scenic Rim (R),20483,21918,93.5%
Kalbar State School,343,2015,State School,Primary,Rural,South East,Scenic Rim (R),18034.5,19333,93.3%
Kalkie State School,277,2011,State School,Primary,Provincial City,North Coast,Bundaberg (R),30245,32661,92.6%
Kalkie State School,277,2012,State School,Primary,Provincial City,North Coast,Bundaberg (R),28851,30619,94.2%
Kalkie State School,277,2013,State School,Primary,Provincial City,North Coast,Bundaberg (R),25720.5,27676.5,92.9%
Kalkie State School,277,2014,State School,Primary,Provincial City,North Coast,Bundaberg (R),26921,28843,93.3%
Kalkie State School,277,2015,State School,Primary,Provincial City,North Coast,Bundaberg (R),25531.5,27481,92.9%
Kallangur State School,605,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),61476,66496,92.5%
Kallangur State School,605,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),62429,68236.5,91.5%
Kallangur State School,605,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),64145,70715.5,90.7%
Kallangur State School,605,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),75409.5,82844,91.0%
Kallangur State School,605,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),70625.5,78032,90.5%
Kandanga State School,1478,2011,State School,Primary,Rural,North Coast,Gympie (R),2245,2421,92.7%
Kandanga State School,1478,2012,State School,Primary,Rural,North Coast,Gympie (R),3089,3438,89.8%
Kandanga State School,1478,2013,State School,Primary,Rural,North Coast,Gympie (R),3838,4330,88.6%
Kandanga State School,1478,2014,State School,Primary,Rural,North Coast,Gympie (R),3581.5,3803,94.2%
Kandanga State School,1478,2015,State School,Primary,Rural,North Coast,Gympie (R),5376.5,5618,95.7%
Karalee State School,1938,2011,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),47594.5,50113,95.0%
Karalee State School,1938,2012,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),47182.5,49796,94.8%
Karalee State School,1938,2013,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),45424,48449,93.8%
Karalee State School,1938,2014,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),50182,53578,93.7%
Karalee State School,1938,2015,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),45978,48942,93.9%
Karara State School,1145,2011,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),1329,1471,90.3%
Karara State School,1145,2012,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),1085,1140,95.2%
Karara State School,1145,2013,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),686.5,774,88.7%
Karara State School,1145,2014,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),551,576,95.7%
Karara State School,1145,2015,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),751.5,864,87.0%
Karumba State School,449,2011,State School,Primary,Remote,North Queensland,Carpentaria (S),4455.5,4781,93.2%
Karumba State School,449,2012,State School,Primary,Remote,North Queensland,Carpentaria (S),2818.5,3223,87.4%
Karumba State School,449,2013,State School,Primary,Remote,North Queensland,Carpentaria (S),3276,3577,91.6%
Karumba State School,449,2014,State School,Primary,Remote,North Queensland,Carpentaria (S),3437.5,3768,91.2%
Karumba State School,449,2015,State School,Primary,Remote,North Queensland,Carpentaria (S),3220.5,3524,91.4%
Kawana Waters State College,5653,2011,State School,Combined,Metropolitan,North Coast,Sunshine Coast (R),112658.5,122423,92.0%
Kawana Waters State College,5653,2012,State School,Combined,Metropolitan,North Coast,Sunshine Coast (R),109624,121452,90.3%
Kawana Waters State College,5653,2013,State School,Combined,Metropolitan,North Coast,Sunshine Coast (R),109032,120442,90.5%
Kawana Waters State College,5653,2014,State School,Combined,Metropolitan,North Coast,Sunshine Coast (R),121759,135779,89.7%
Kawana Waters State College,5653,2015,State School,Combined,Metropolitan,North Coast,Sunshine Coast (R),133662,146246.5,91.4%
Kawungan State School,1987,2011,State School,Primary,Provincial City,North Coast,Fraser Coast (R),87141.5,95051,91.7%
Kawungan State School,1987,2012,State School,Primary,Provincial City,North Coast,Fraser Coast (R),84746.5,92387,91.7%
Kawungan State School,1987,2013,State School,Primary,Provincial City,North Coast,Fraser Coast (R),77701,84743,91.7%
Kawungan State School,1987,2014,State School,Primary,Provincial City,North Coast,Fraser Coast (R),83650,90553,92.4%
Kawungan State School,1987,2015,State School,Primary,Provincial City,North Coast,Fraser Coast (R),76258.5,82378,92.6%
Kedron State High School,2039,2011,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),104036,112767,92.3%
Kedron State High School,2039,2012,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),101787.5,109650,92.8%
Kedron State High School,2039,2013,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),99459.5,108426,91.7%
Kedron State High School,2039,2014,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),107586,115091,93.5%
Kedron State High School,2039,2015,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),128012.5,137506,93.1%
Kedron State School,371,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),32010.5,34138,93.8%
Kedron State School,371,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),35441.5,37335,94.9%
Kedron State School,371,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),36067,38393.5,93.9%
Kedron State School,371,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),37455.5,39798,94.1%
Kedron State School,371,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),35285.5,37611,93.8%
Keebra Park State High School,2046,2011,State High School,Secondary,Metropolitan,South East,Gold Coast (C),52919.5,61187,86.5%
Keebra Park State High School,2046,2012,State High School,Secondary,Metropolitan,South East,Gold Coast (C),49901.5,57279.5,87.1%
Keebra Park State High School,2046,2013,State High School,Secondary,Metropolitan,South East,Gold Coast (C),53432,64113,83.3%
Keebra Park State High School,2046,2014,State High School,Secondary,Metropolitan,South East,Gold Coast (C),54551,66230,82.4%
Keebra Park State High School,2046,2015,State High School,Secondary,Metropolitan,South East,Gold Coast (C),63211,75016,84.3%
Kelso State School,1960,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),37740.5,42056,89.7%
Kelso State School,1960,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),33593.5,36987,90.8%
Kelso State School,1960,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),33842.5,37944,89.2%
Kelso State School,1960,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),36097.5,40989.5,88.1%
Kelso State School,1960,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),41192,46200,89.2%
Kelvin Grove State College,2409,2011,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),163004.5,174642,93.3%
Kelvin Grove State College,2409,2012,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),162279.5,174626,92.9%
Kelvin Grove State College,2409,2013,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),171298,182418,93.9%
Kelvin Grove State College,2409,2014,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),190768.5,203374,93.8%
Kelvin Grove State College,2409,2015,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),214246.5,230063,93.1%
Kenilworth State Community College,1309,2011,State School,Primary,Rural,North Coast,Sunshine Coast (R),4879.5,5315,91.8%
Kenilworth State Community College,1309,2012,State School,Primary,Rural,North Coast,Sunshine Coast (R),4220.5,4685,90.1%
Kenilworth State Community College,1309,2013,State School,Primary,Rural,North Coast,Sunshine Coast (R),4268,4742,90.0%
Kenilworth State Community College,1309,2014,State School,Primary,Rural,North Coast,Sunshine Coast (R),5080.5,5756,88.3%
Kenilworth State Community College,1309,2015,State School,Primary,Rural,North Coast,Sunshine Coast (R),4459.5,4985,89.5%
Kenmore South State School,1143,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),38413,40905,93.9%
Kenmore South State School,1143,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),43940,46235,95.0%
Kenmore South State School,1143,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),45471,47832.5,95.1%
Kenmore South State School,1143,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),51302.5,54571,94.0%
Kenmore South State School,1143,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),52840,55951,94.4%
Kenmore State High School,2132,2011,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),143129.5,158750,90.2%
Kenmore State High School,2132,2012,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),135225,149637,90.4%
Kenmore State High School,2132,2013,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),133161,144371.5,92.2%
Kenmore State High School,2132,2014,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),143741.5,156378,91.9%
Kenmore State High School,2132,2015,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),160609.5,174657,92.0%
Kenmore State School,923,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),23680.5,25009,94.7%
Kenmore State School,923,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),23137.5,24343,95.0%
Kenmore State School,923,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),21527,22800.5,94.4%
Kenmore State School,923,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),24856,26179,94.9%
Kenmore State School,923,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),24473.5,25783,94.9%
Kennedy State School,868,2011,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),4560.5,5867,77.7%
Kennedy State School,868,2012,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),5273,5695,92.6%
Kennedy State School,868,2013,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),5498,5865,93.7%
Kennedy State School,868,2014,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),5754,6366,90.4%
Kennedy State School,868,2015,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),4554,4773,95.4%
Kentville State School,710,2011,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),3032,3401,89.2%
Kentville State School,710,2012,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),2271,2588,87.8%
Kentville State School,710,2013,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),2597,2874,90.4%
Kentville State School,710,2014,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),3001.5,3298,91.0%
Kentville State School,710,2015,State School,Primary,Rural,Darling Downs South West,Lockyer Valley (R),2959.5,3170,93.4%
Kepnock State High School,2095,2011,State High School,Secondary,Provincial City,North Coast,Bundaberg (R),100044,116927,85.6%
Kepnock State High School,2095,2012,State High School,Secondary,Provincial City,North Coast,Bundaberg (R),94854,111105,85.4%
Kepnock State High School,2095,2013,State High School,Secondary,Provincial City,North Coast,Bundaberg (R),99766.5,113095,88.2%
Kepnock State High School,2095,2014,State High School,Secondary,Provincial City,North Coast,Bundaberg (R),103082,117498,87.7%
Kepnock State High School,2095,2015,State High School,Secondary,Provincial City,North Coast,Bundaberg (R),120678.5,135550,89.0%
Keppel Sands State School,670,2011,State School,Primary,Rural,Central Queensland,Livingstone (S),843.5,961,87.8%
Keppel Sands State School,670,2012,State School,Primary,Rural,Central Queensland,Livingstone (S),685,773,88.6%
Keppel Sands State School,670,2013,State School,Primary,Rural,Central Queensland,Livingstone (S),1083,1153,93.9%
Keppel Sands State School,670,2014,State School,Primary,Rural,Central Queensland,Livingstone (S),1892.5,2045,92.5%
Keppel Sands State School,670,2015,State School,Primary,Rural,Central Queensland,Livingstone (S),1832,1981,92.5%
Kia-Ora State School,1707,2011,State School,Primary,Rural,North Coast,Gympie (R),3620.5,3903,92.8%
Kia-Ora State School,1707,2012,State School,Primary,Rural,North Coast,Gympie (R),3874.5,4325,89.6%
Kia-Ora State School,1707,2013,State School,Primary,Rural,North Coast,Gympie (R),4639.5,4970,93.4%
Kia-Ora State School,1707,2014,State School,Primary,Rural,North Coast,Gympie (R),6248.5,6816,91.7%
Kia-Ora State School,1707,2015,State School,Primary,Rural,North Coast,Gympie (R),5799.5,6152,94.3%
Kilcoy State High School,2133,2011,State High School,Secondary,Rural,North Coast,Somerset (R),28945.5,31908,90.7%
Kilcoy State High School,2133,2012,State High School,Secondary,Rural,North Coast,Somerset (R),27758.5,30939,89.7%
Kilcoy State High School,2133,2013,State High School,Secondary,Rural,North Coast,Somerset (R),29448,32526.5,90.5%
Kilcoy State High School,2133,2014,State High School,Secondary,Rural,North Coast,Somerset (R),29252,33221,88.1%
Kilcoy State High School,2133,2015,State High School,Secondary,Rural,North Coast,Somerset (R),34542,38485,89.8%
Kilcoy State School,679,2011,State School,Primary,Rural,North Coast,Somerset (R),28223.5,30391,92.9%
Kilcoy State School,679,2012,State School,Primary,Rural,North Coast,Somerset (R),29920.5,32139,93.1%
Kilcoy State School,679,2013,State School,Primary,Rural,North Coast,Somerset (R),29237.5,31525,92.7%
Kilcoy State School,679,2014,State School,Primary,Rural,North Coast,Somerset (R),32676,35008,93.3%
Kilcoy State School,679,2015,State School,Primary,Rural,North Coast,Somerset (R),28475.5,31458,90.5%
Kilcummin State School,787,2011,State School,Primary,Remote,Central Queensland,Isaac (R),2552.5,2800,91.2%
Kilcummin State School,787,2012,State School,Primary,Remote,Central Queensland,Isaac (R),2169,2441,88.9%
Kilcummin State School,787,2013,State School,Primary,Remote,Central Queensland,Isaac (R),2218,2499,88.8%
Kilcummin State School,787,2014,State School,Primary,Remote,Central Queensland,Isaac (R),2257.5,2451,92.1%
Kilcummin State School,787,2015,State School,Primary,Remote,Central Queensland,Isaac (R),2762,2963,93.2%
Kilkivan State School,168,2011,State School,Combined,Rural,North Coast,Gympie (R),8460,9238,91.6%
Kilkivan State School,168,2012,State School,Combined,Rural,North Coast,Gympie (R),8675.5,9596,90.4%
Kilkivan State School,168,2013,State School,Combined,Rural,North Coast,Gympie (R),7964.5,8636.5,92.2%
Kilkivan State School,168,2014,State School,Combined,Rural,North Coast,Gympie (R),8447.5,9283,91.0%
Kilkivan State School,168,2015,State School,Combined,Rural,North Coast,Gympie (R),7789.5,8508,91.6%
Killarney P-10 State School,163,2011,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),14796.5,15970,92.7%
Killarney P-10 State School,163,2012,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),15145.5,16367,92.5%
Killarney P-10 State School,163,2013,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),16201,17443,92.9%
Killarney P-10 State School,163,2014,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),15824,17107,92.5%
Killarney P-10 State School,163,2015,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),16243,17664,92.0%
Kimberley Park State School,1937,2011,State School,Primary,Metropolitan,South East,Logan (C),77377,82970,93.3%
Kimberley Park State School,1937,2012,State School,Primary,Metropolitan,South East,Logan (C),78399.5,84288,93.0%
Kimberley Park State School,1937,2013,State School,Primary,Metropolitan,South East,Logan (C),78788,85319,92.3%
Kimberley Park State School,1937,2014,State School,Primary,Metropolitan,South East,Logan (C),82032,88106.5,93.1%
Kimberley Park State School,1937,2015,State School,Primary,Metropolitan,South East,Logan (C),80351.5,86750,92.6%
Kin Kin State School,1534,2011,State School,Primary,Rural,North Coast,Noosa (S),4861,5279,92.1%
Kin Kin State School,1534,2012,State School,Primary,Rural,North Coast,Noosa (S),5014,5583,89.8%
Kin Kin State School,1534,2013,State School,Primary,Rural,North Coast,Noosa (S),5093,5848,87.1%
Kin Kin State School,1534,2014,State School,Primary,Rural,North Coast,Noosa (S),6005,6602,91.0%
Kin Kin State School,1534,2015,State School,Primary,Rural,North Coast,Noosa (S),5999,6549,91.6%
Kin Kora State School,1912,2011,State School,Primary,Provincial City,Central Queensland,Gladstone (R),76692,82531,92.9%
Kin Kora State School,1912,2012,State School,Primary,Provincial City,Central Queensland,Gladstone (R),71298.5,76244,93.5%
Kin Kora State School,1912,2013,State School,Primary,Provincial City,Central Queensland,Gladstone (R),72480.5,77314,93.7%
Kin Kora State School,1912,2014,State School,Primary,Provincial City,Central Queensland,Gladstone (R),81808,88455,92.5%
Kin Kora State School,1912,2015,State School,Primary,Provincial City,Central Queensland,Gladstone (R),77720,83091,93.5%
Kindon State School,753,2011,State School,Primary,Rural,Darling Downs South West,Goondiwindi (R),1405,1526,92.1%
Kindon State School,753,2012,State School,Primary,Rural,Darling Downs South West,Goondiwindi (R),1342,1422,94.4%
Kindon State School,753,2013,State School,Primary,Rural,Darling Downs South West,Goondiwindi (R),1026,1110,92.4%
Kindon State School,753,2014,State School,Primary,Rural,Darling Downs South West,Goondiwindi (R),1041,1260,82.6%
Kindon State School,753,2015,State School,Primary,Rural,Darling Downs South West,Goondiwindi (R),628.5,679,92.6%
Kingaroy State High School,2044,2011,State High School,Secondary,Rural,Darling Downs South West,South Burnett (R),88352,101085,87.4%
Kingaroy State High School,2044,2012,State High School,Secondary,Rural,Darling Downs South West,South Burnett (R),82882,92474.5,89.6%
Kingaroy State High School,2044,2013,State High School,Secondary,Rural,Darling Downs South West,South Burnett (R),86831,97865,88.7%
Kingaroy State High School,2044,2014,State High School,Secondary,Rural,Darling Downs South West,South Burnett (R),85998.5,97105,88.6%
Kingaroy State High School,2044,2015,State High School,Secondary,Rural,Darling Downs South West,South Burnett (R),94055,105630,89.0%
Kingaroy State School,995,2011,State School,Primary,Rural,Darling Downs South West,South Burnett (R),44066,48743,90.4%
Kingaroy State School,995,2012,State School,Primary,Rural,Darling Downs South West,South Burnett (R),41745,45894,91.0%
Kingaroy State School,995,2013,State School,Primary,Rural,Darling Downs South West,South Burnett (R),45347.5,50316.5,90.1%
Kingaroy State School,995,2014,State School,Primary,Rural,Darling Downs South West,South Burnett (R),47821.5,52832,90.5%
Kingaroy State School,995,2015,State School,Primary,Rural,Darling Downs South West,South Burnett (R),44945,49556,90.7%
Kingsthorpe State School,1274,2011,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),16103.5,17529,91.9%
Kingsthorpe State School,1274,2012,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),15061.5,16043,93.9%
Kingsthorpe State School,1274,2013,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),14604.5,15639,93.4%
Kingsthorpe State School,1274,2014,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),16531.5,17740,93.2%
Kingsthorpe State School,1274,2015,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),17855,18923,94.4%
Kingston College,2139,2011,State High School,Secondary,Metropolitan,South East,Logan (C),43889.5,49761,88.2%
Kingston College,2139,2012,State High School,Secondary,Metropolitan,South East,Logan (C),48356.5,53706.5,90.0%
Kingston College,2139,2013,State High School,Secondary,Metropolitan,South East,Logan (C),55996,63130,88.7%
