School Name,Centre Code,Region,Local Government Area,LOTE Language,School Category,Year 7 as Secondary,Year Level Sector
Meridan State College,1733,North Coast,Sunshine Coast (R),Italian,Combined,Yes,P/S
Meringandan State School,0179,Darling Downs South West,Toowoomba (R),Japanese,Primary,No,P
Merrimac State High School,2147,South East,Gold Coast (C),Chinese,Secondary,No,S
Merrimac State High School,2147,South East,Gold Coast (C),Japanese,Secondary,No,S
Merrimac State School,1586,South East,Gold Coast (C),Japanese,Primary,No,P
Miallo State School,1291,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Miami State High School,2086,South East,Gold Coast (C),Japanese,Secondary,No,S
Miami State School,1890,South East,Gold Coast (C),Chinese,Primary,No,P
Miami State School,1890,South East,Gold Coast (C),Japanese,Primary,No,P
Middle Park State School,1969,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Middle Ridge State School,0414,Darling Downs South West,Toowoomba (R),Chinese,Primary,No,P
Middlemount Community School,1905,Central Queensland,Isaac (R),Japanese,Combined,No,P/S
Miles State High School,2144,Darling Downs South West,Western Downs (R),Japanese,Secondary,No,S
Millaa Millaa State School,0771,Far North Queensland,Tablelands (R),Japanese,Primary,No,P
Millaroo State School,0867,North Queensland,Burdekin (S),Japanese,Primary,No,P
Millmerran State School,0176,Darling Downs South West,Toowoomba (R),Indonesian,Combined,No,P
Milman State School,1120,Central Queensland,Rockhampton (R),French,Primary,No,P
Milton State School,0551,Metropolitan,Brisbane (C),Italian,Primary,No,P
Minden State School,0294,Metropolitan,Somerset (R),German,Primary,No,P
Minimbah State School,0265,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Mirani State High School,2117,Central Queensland,Mackay (R),Japanese,Secondary,No,S
Mirani State School,0658,Central Queensland,Mackay (R),Japanese,Primary,No,P
Miriam Vale State School,0792,Central Queensland,Gladstone (R),Japanese,Combined,No,P/S
Mirriwinni State School,1382,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Mistake Creek State School,1919,Central Queensland,Isaac (R),French,Primary,No,P
Mitchelton State High School,2040,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Mitchelton State School,1538,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Moffatdale State School,0701,Darling Downs South West,South Burnett (R),Japanese,Primary,No,P
Moggill State School,0073,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Monkland State School,0417,North Coast,Gympie (R),German,Primary,No,P
Monogorilby State School,1513,Darling Downs South West,North Burnett (R),French,Primary,No,P
Monto State High School,2098,Central Queensland,North Burnett (R),Japanese,Secondary,No,S
Monto State School,1831,Central Queensland,North Burnett (R),Japanese,Primary,No,P
Montville State School,0776,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Mooloolaba State School,1818,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Mooloolah State School,0309,North Coast,Sunshine Coast (R),Spanish,Primary,No,P
Moonie State School,0511,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Moore Park State School,1739,North Coast,Bundaberg (R),Japanese,Primary,No,P
Moorooka State School,1637,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Moranbah East State School,1908,Central Queensland,Isaac (R),Japanese,Primary,No,P
Moranbah State High School,2135,Central Queensland,Isaac (R),Japanese,Secondary,No,S
Moranbah State School,0896,Central Queensland,Isaac (R),Japanese,Primary,No,P
Morayfield East State School,1985,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Morayfield State High School,2154,North Coast,Moreton Bay (R),French,Secondary,No,S
Morayfield State High School,2154,North Coast,Moreton Bay (R),Japanese,Secondary,No,S
Morayfield State School,0125,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Moresby State School,1474,Far North Queensland,Cassowary Coast (R),Italian,Primary,No,P
Moreton Downs State School,1753,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Morningside State School,1803,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Mornington Island State School,0291,North Queensland,Mornington (S),LOTE,Combined,No,P
Morven State School,0525,Darling Downs South West,Murweh (S),Japanese,Primary,No,P
Mossman State High School,2002,Far North Queensland,Cairns (R),Japanese,Secondary,No,S
Mossman State School,0167,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Mount Alford State School,0381,South East,Scenic Rim (R),German,Primary,No,P
Mount Archer State School,1914,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Mount Cotton State School,0284,South East,Redland (C),Japanese,Primary,No,P
Mount Crosby State School,0267,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Mount Fox State School,1975,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
Mount Gravatt East State School,0660,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Mount Gravatt State High School,2056,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Mount Gravatt State School,0198,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Mount Isa Central State School,1067,North Queensland,Mount Isa (C),Japanese,Primary,No,P
Mount Isa School of the Air,3604,North Queensland,Mount Isa (C),French,Combined,No,P
Mount Isa School of the Air,3604,North Queensland,Mount Isa (C),German,Combined,No,P
Mount Isa School of the Air,3604,North Queensland,Mount Isa (C),Indonesian,Combined,No,P
Mount Isa School of the Air,3604,North Queensland,Mount Isa (C),Japanese,Combined,No,P
Mount Kilcoy State School,1166,North Coast,Somerset (R),Indonesian,Primary,No,P
Mount Larcom State School,0300,Central Queensland,Gladstone (R),German,Combined,No,P/S
Mount Marrow State School,1189,Metropolitan,Ipswich (C),German,Primary,No,P
Mount Mee State School,0690,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Mount Morgan Central State School,0526,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Mount Morgan State High School,2010,Central Queensland,Rockhampton (R),Japanese,Secondary,No,S
Mount Murchison State School,1511,Central Queensland,Banana (S),Japanese,Primary,No,P
Mount Nebo State School,0737,Metropolitan,Moreton Bay (R),Chinese,Primary,No,P
Mount Perry State School,0075,Central Queensland,North Burnett (R),Japanese,Primary,No,P
Mount Samson State School,0377,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Mount Surprise State School,1531,Far North Queensland,Etheridge (S),Japanese,Primary,No,P
Mount Sylvia State School,0464,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Mount Tarampa State School,1111,Metropolitan,Somerset (R),German,Primary,No,P
Mount Tyson State School,1037,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Mount Warren Park State School,1906,South East,Logan (C),Japanese,Primary,No,P
Mount Whitestone State School,0495,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Mountain Creek State High School,2190,North Coast,Sunshine Coast (R),Japanese,Secondary,No,S
Mountain Creek State High School,2190,North Coast,Sunshine Coast (R),Spanish,Secondary,No,S
Mountain Creek State School,1999,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Moura State High School,2136,Central Queensland,Banana (S),Japanese,Secondary,No,S
Moura State School,0932,Central Queensland,Banana (S),Japanese,Primary,No,P
Mourilyan State School,0957,Far North Queensland,Cassowary Coast (R),Italian,Primary,No,P
Mudgeeraba Creek State School,0159,South East,Gold Coast (C),Japanese,Primary,No,P
Mudgeeraba State School,0663,South East,Gold Coast (C),Japanese,Primary,No,P
Mulgildie State School,1418,Central Queensland,North Burnett (R),Japanese,Primary,No,P
Mundingburra State School,0436,North Queensland,Townsville (C),French,Primary,No,P
Mundoo State School,0722,Far North Queensland,Cassowary Coast (R),LOTE,Primary,No,P
Mundubbera State School,1420,Central Queensland,North Burnett (R),German,Combined,No,P/S
Mungar State School,0217,North Coast,Fraser Coast (R),Japanese,Primary,No,P
Murarrie State School,1469,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Murgon State High School,2052,Darling Downs South West,South Burnett (R),Japanese,Secondary,No,S
Murgon State School,0871,Darling Downs South West,South Burnett (R),LOTE,Primary,No,P
Murphy's Creek State School,0076,Darling Downs South West,Lockyer Valley (R),Japanese,Primary,No,P
Murray River Upper State School,1030,Far North Queensland,Cassowary Coast (R),Indonesian,Primary,No,P
Murray River Upper State School,1030,Far North Queensland,Cassowary Coast (R),LOTE,Primary,No,P
Murrumba State Secondary College,7574,North Coast,Moreton Bay (R),Spanish,Secondary,Yes,P/S
Musgrave Hill State School,1678,South East,Gold Coast (C),Japanese,Primary,No,P
Mutarnee State School,1317,North Queensland,Townsville (C),Italian,Primary,No,P
Mutchilba State School,0993,Far North Queensland,Tablelands (R),Italian,Primary,No,P
Mutdapilly State School,0152,South East,Scenic Rim (R),French,Primary,No,P
Muttaburra State School,0304,Central Queensland,Barcaldine (R),French,Primary,No,P
Nambour State High School,2031,North Coast,Sunshine Coast (R),Italian,Secondary,Yes,P/S
Nambour State High School,2031,North Coast,Sunshine Coast (R),Japanese,Secondary,Yes,P/S
Nambour State School,0363,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Nanango State High School,2157,Darling Downs South West,South Burnett (R),Indonesian,Secondary,No,S
Nanango State School,0077,Darling Downs South West,South Burnett (R),Indonesian,Primary,No,P
Narangba State School,1200,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Narangba Valley State High School,0444,North Coast,Moreton Bay (R),French,Secondary,No,S
Narangba Valley State High School,0444,North Coast,Moreton Bay (R),Japanese,Secondary,No,S
Narangba Valley State School,1725,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Nashville State School,0479,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Nebo State School,0184,Central Queensland,Isaac (R),Japanese,Primary,No,P
Nerang State High School,2169,South East,Gold Coast (C),Japanese,Secondary,No,S
Nerang State School,0218,South East,Gold Coast (C),Japanese,Primary,No,P
New Farm State School,0943,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Newmarket State School,0228,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Newtown State School,1227,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Nobby State School,1735,Darling Downs South West,Toowoomba (R),French,Primary,No,P
Noosa District State High School,2088,North Coast,Sunshine Coast (R),French,Secondary,No,S
Noosa District State High School,2088,North Coast,Sunshine Coast (R),Japanese,Secondary,No,S
Noosa District State High School - Pomona Campus,2292,North Coast,Sunshine Coast (R),Japanese,Secondary,No,S
Noosaville State School,0175,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Norfolk Village State School,1741,South East,Gold Coast (C),German,Primary,No,P
Norman Park State School,0926,Metropolitan,Brisbane (C),French,Primary,No,P
Normanton State School,0360,North Queensland,Carpentaria (S),Indonesian,Combined,No,P
Norris Road State School,1863,Metropolitan,Brisbane (C),Japanese,Primary,No,P
North Arm State School,0469,North Coast,Sunshine Coast (R),Italian,Primary,No,P
North Eton State School,0731,Central Queensland,Mackay (R),Japanese,Primary,No,P
North Lakes State College,2324,North Coast,Moreton Bay (R),Italian,Combined,No,P/S
North Rockhampton State High School,2041,Central Queensland,Rockhampton (R),Japanese,Secondary,No,S
Northern Beaches State High School,0211,North Queensland,Townsville (C),Japanese,Secondary,Yes,P/S
Northgate State School,0281,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Northview State School,1957,Central Queensland,Mackay (R),Japanese,Primary,No,P
Norville State School,0445,North Coast,Bundaberg (R),Japanese,Primary,No,P
Numinbah Valley State School,0785,South East,Gold Coast (C),Japanese,Primary,No,P
Nundah State School,0043,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Nyanda State High School,1589,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Oakenden State School,1238,Central Queensland,Mackay (R),Chinese,Primary,No,P
Oakey State High School,2099,Darling Downs South West,Toowoomba (R),Japanese,Secondary,No,S
Oakey State School,0166,Darling Downs South West,Toowoomba (R),French,Primary,No,P
Oakleigh State School,0331,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Oakwood State School,0620,North Coast,Bundaberg (R),Japanese,Primary,No,P
Old Yarranlea State School,1964,Metropolitan,Brisbane (C),Japanese,Primary,No,P
One Mile State School,0051,North Coast,Gympie (R),German,Primary,No,P
Oonoonba State School,0556,North Queensland,Townsville (C),Chinese,Primary,No,P
Orion State School,1271,Central Queensland,Central Highlands (R),Japanese,Primary,No,P
Ormeau State School,0336,South East,Gold Coast (C),German,Primary,No,P
Ormeau Woods State High School,6136,South East,Gold Coast (C),German,Secondary,No,S
Ormeau Woods State High School,6136,South East,Gold Coast (C),Indonesian,Secondary,No,S
Ormiston State School,0023,South East,Redland (C),Chinese,Primary,No,P
Ormiston State School,0023,South East,Redland (C),French,Primary,No,P
Osborne State School,0074,North Queensland,Burdekin (S),Japanese,Primary,No,P
Oxenford State School,1970,South East,Gold Coast (C),Japanese,Primary,No,P
Oxley State School,0079,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Pacific Paradise State School,1991,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Pacific Pines State High School,1745,South East,Gold Coast (C),Japanese,Secondary,No,S
Pacific Pines State School,1744,South East,Gold Coast (C),Japanese,Primary,No,P
Pallara State School,0831,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Palm Beach State School,0240,South East,Gold Coast (C),Japanese,Primary,No,P
Palm Beach-Currumbin State High School,2129,South East,Gold Coast (C),Japanese,Secondary,No,S
Palm Beach-Currumbin State High School,2129,South East,Gold Coast (C),Spanish,Secondary,No,S
Palmwoods State School,0592,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Park Avenue State School,0983,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Park Lake State School,5700,South East,Gold Coast (C),Japanese,Primary,No,P
Park Ridge State High School,2187,South East,Logan (C),German,Secondary,No,S
Park Ridge State High School,2187,South East,Logan (C),Indonesian,Secondary,No,S
Park Ridge State School,0515,South East,Logan (C),German,Primary,No,P
Parke State School,1467,North Coast,Fraser Coast (R),Japanese,Primary,No,P
Parramatta State School,0639,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Patrick Estate State School,1486,Metropolitan,Somerset (R),German,Primary,No,P
Patricks Road State School,1864,Metropolitan,Moreton Bay (R),German,Primary,No,P
Patricks Road State School,1864,Metropolitan,Moreton Bay (R),Indonesian,Primary,No,P
Payne Road State School,0286,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Peachester State School,0672,North Coast,Sunshine Coast (R),Spanish,Primary,No,P
Peak Crossing State School,0086,South East,Scenic Rim (R),German,Primary,No,P
Pentland State School,0467,North Queensland,Charters Towers (R),Japanese,Primary,No,P
Peregian Springs State School,1712,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Petrie State School,0183,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Petrie Terrace State School,0080,Metropolitan,Brisbane (C),German,Primary,No,P
Pialba State School,0419,North Coast,Fraser Coast (R),Chinese,Primary,No,P
Pilton State School,0422,Darling Downs South West,Toowoomba (R),French,Primary,No,P
Pimlico State High School,2049,North Queensland,Townsville (C),French,Secondary,No,S
Pimlico State High School,2049,North Queensland,Townsville (C),German,Secondary,No,S
Pimlico State High School,2049,North Queensland,Townsville (C),Japanese,Secondary,No,S
Pimpama State School,0081,South East,Gold Coast (C),Japanese,Primary,No,P
Pimpama State Secondary College,8044,South East,Gold Coast (C),Chinese,Secondary,Yes,P/S
Pindi Pindi State School,1408,Central Queensland,Mackay (R),German,Primary,No,P
Pine Rivers State High School,2102,North Coast,Moreton Bay (R),German,Secondary,No,S
Pinnacle State School,1141,Central Queensland,Mackay (R),Japanese,Primary,No,P
Pioneer State High School,2168,Central Queensland,Mackay (R),Japanese,Secondary,No,S
Pittsworth State High School,2119,Darling Downs South West,Toowoomba (R),Indonesian,Secondary,No,S
Pittsworth State School,0373,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Pomona State School,0720,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Pormpuraaw State School,0457,Far North Queensland,Pormpuraaw (S),LOTE,Primary,No,P
Port Curtis Road State School,0208,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Port Douglas State School,1979,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Pozieres State School,1704,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Prairie State School,0488,North Queensland,Flinders (S),Japanese,Primary,No,P
Prenzlau State School,0238,Metropolitan,Somerset (R),German,Primary,No,P
Proserpine State High School,2090,North Queensland,Whitsunday (R),Japanese,Secondary,No,S
Proserpine State School,0779,North Queensland,Whitsunday (R),Japanese,Primary,No,P
Prospect Creek State School,1655,Central Queensland,Banana (S),Japanese,Primary,No,P
Proston State School,1155,Darling Downs South West,South Burnett (R),Japanese,Combined,No,P/S
Pullenvale State School,0140,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Queens Beach State School,1194,North Queensland,Whitsunday (R),Chinese,Primary,No,P
Queensland Academy for Creative Industries,5685,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Queensland Academy for Creative Industries,5685,Metropolitan,Brisbane (C),French,Secondary,No,S
Queensland Academy for Creative Industries,5685,Metropolitan,Brisbane (C),Indonesian,Secondary,No,S
Queensland Academy for Creative Industries,5685,Metropolitan,Brisbane (C),Korean,Secondary,No,S
Queensland Academy for Creative Industries,5685,Metropolitan,Brisbane (C),Spanish,Secondary,No,S
Queensland Academy for Health Sciences,5727,South East,Gold Coast (C),Chinese,Secondary,No,S
Queensland Academy for Health Sciences,5727,South East,Gold Coast (C),French,Secondary,No,S
Queensland Academy for Science Mathematics and Technology,5684,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Queensland Academy for Science Mathematics and Technology,5684,Metropolitan,Brisbane (C),French,Secondary,No,S
Queensland Academy for Science Mathematics and Technology,5684,Metropolitan,Brisbane (C),German,Secondary,No,S
Queensland Academy for Science Mathematics and Technology,5684,Metropolitan,Brisbane (C),Spanish,Secondary,No,S
Quilpie State College,1594,Darling Downs South West,Quilpie (S),Japanese,Combined,No,P
Quinalow Prep-10 State School,0958,Darling Downs South West,Toowoomba (R),German,Combined,No,P/S
Raceview State School,0975,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Railway Estate State School,1530,North Queensland,Townsville (C),Japanese,Primary,No,P
Rainbow Beach State School,1955,North Coast,Gympie (R),German,Primary,No,P
Rainworth State School,1491,Metropolitan,Brisbane (C),Italian,Primary,No,P
Ramsay State School,0029,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Rangeville State School,1174,Darling Downs South West,Toowoomba (R),Chinese,Primary,No,P
Rasmussen State School,1870,North Queensland,Townsville (C),Japanese,Primary,No,P
Rathdowney State School,1332,South East,Scenic Rim (R),Japanese,Primary,No,P
Ravenswood State School,0141,North Queensland,Charters Towers (R),Japanese,Primary,No,P
Redbank Plains State High School,2174,Metropolitan,Ipswich (C),German,Secondary,No,S
Redbank Plains State School,0088,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Redbank State School,0719,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Redcliffe State High School,2045,North Coast,Moreton Bay (R),French,Secondary,No,S
Redcliffe State High School,2045,North Coast,Moreton Bay (R),German,Secondary,No,S
Redcliffe State High School,2045,North Coast,Moreton Bay (R),Italian,Secondary,No,S
Redcliffe State High School,2045,North Coast,Moreton Bay (R),Japanese,Secondary,No,S
Redcliffe State High School,2045,North Coast,Moreton Bay (R),Spanish,Secondary,No,S
Redland Bay State School,0229,South East,Redland (C),German,Primary,No,P
Redlynch State College,1336,Far North Queensland,Cairns (R),French,Combined,No,P/S
Redlynch State College,1336,Far North Queensland,Cairns (R),Japanese,Combined,No,P/S
Regents Park State School,1996,South East,Logan (C),German,Primary,No,P
Richlands East State School,0721,Metropolitan,Brisbane (C),Vietnamese,Primary,No,P
Richmond Hill State School,0733,North Queensland,Charters Towers (R),Japanese,Primary,No,P
Richmond State School,0576,North Queensland,Richmond (S),Japanese,Combined,No,P/S
Ridgelands State School,1489,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Riverview State School,1865,Metropolitan,Ipswich (C),Indonesian,Primary,No,P
Roadvale State School,0582,South East,Scenic Rim (R),French,Primary,No,P
Robertson State School,1899,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Robina State High School,0195,South East,Gold Coast (C),Japanese,Secondary,No,S
Robina State School,1982,South East,Gold Coast (C),Japanese,Primary,No,P
Rochedale South State School,1886,South East,Logan (C),Chinese,Primary,No,P
Rochedale State High School,2158,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Rochedale State High School,2158,Metropolitan,Brisbane (C),French,Secondary,No,S
Rochedale State School,1638,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Rochedale State School,1638,Metropolitan,Brisbane (C),French,Primary,No,P
Rockhampton State High School,2011,Central Queensland,Rockhampton (R),Japanese,Secondary,No,S
Rocklea State School,0454,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Rolleston State School,0092,Central Queensland,Central Highlands (R),Japanese,Primary,No,P
Rollingstone State School,1325,North Queensland,Townsville (C),Japanese,Primary,No,P
Roma State College,5666,Darling Downs South West,Maranoa (R),Japanese,Combined,No,P/S
Ropeley State School,0613,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Rosedale State School,0759,North Coast,Gladstone (R),Indonesian,Combined,No,P/S
Rosewood State High School,2151,Metropolitan,Ipswich (C),German,Secondary,No,S
Rosewood State School,0131,Metropolitan,Ipswich (C),German,Primary,No,P
Rossville State School,1977,Far North Queensland,Cook (S),French,Primary,No,P
Runcorn Heights State School,0472,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Runcorn State High School,2167,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Runcorn State School,0968,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Russell Island State School,1488,South East,Redland (C),Japanese,Primary,No,P
Ryeford State School,0146,Darling Downs South West,Toowoomba (R),French,Primary,No,P
Salisbury State School,1690,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Samford State School,0094,Metropolitan,Moreton Bay (R),German,Primary,No,P
Sandgate District State High School,2047,Metropolitan,Brisbane (C),German,Secondary,No,S
Sandgate District State High School,2047,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Sandgate State School,0153,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Sandy Strait State School,1754,North Coast,Fraser Coast (R),Chinese,Primary,No,P
Sarina State School,0546,Central Queensland,Mackay (R),Japanese,Primary,No,P
Scarborough State School,1560,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Scottville State School,0475,North Queensland,Whitsunday (R),Japanese,Primary,No,P
Seaforth State School,1479,Central Queensland,Mackay (R),Japanese,Primary,No,P
Serviceton South State School,0590,Metropolitan,Brisbane (C),German,Primary,No,P
Seven Hills State School,1026,Metropolitan,Brisbane (C),French,Primary,No,P
Severnlea State School,1007,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Seville Road State School,1131,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Shailer Park State High School,2149,South East,Logan (C),Japanese,Secondary,No,S
Shailer Park State School,1916,South East,Logan (C),Japanese,Primary,No,P
Sharon State School,0400,North Coast,Bundaberg (R),Japanese,Primary,No,P
Sherwood State School,0078,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Shorncliffe State School,1623,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Silkstone State School,0247,Metropolitan,Ipswich (C),German,Primary,No,P
Slacks Creek State School,0099,South East,Logan (C),Japanese,Primary,No,P
Slade Point State School,1853,Central Queensland,Mackay (R),Japanese,Primary,No,P
Smithfield State High School,2159,Far North Queensland,Cairns (R),French,Secondary,No,S
Smithfield State High School,2159,Far North Queensland,Cairns (R),German,Secondary,No,S
Somerset Hills State School,0692,Metropolitan,Brisbane (C),Japanese,Primary,No,P
South Johnstone State School,1518,Far North Queensland,Cassowary Coast (R),Italian,Primary,No,P
Southbrook Central State School,1241,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Southport State High School,2037,South East,Gold Coast (C),Japanese,Secondary,Yes,P
Southport State School,0368,South East,Gold Coast (C),Italian,Primary,No,P
Spinifex State College - Mount Isa - Junior Campus,5149,North Queensland,Mount Isa (C),Japanese,Secondary,No,S
Springbrook State School,1931,South East,Gold Coast (C),Japanese,Primary,No,P
Springfield Central State High School,7131,Metropolitan,Ipswich (C),Japanese,Secondary,Yes,P/S
Springfield Central State School,7123,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Springfield Lakes State School,5556,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Springsure State School,0102,Central Queensland,Central Highlands (R),Japanese,Combined,No,P/S
Springwood Central State School,1869,South East,Logan (C),Japanese,Primary,No,P
Springwood Road State School,0358,South East,Logan (C),Japanese,Primary,No,P
Springwood State High School,2140,South East,Logan (C),Japanese,Secondary,No,S
St Bernard State School,1425,South East,Scenic Rim (R),Japanese,Primary,No,P
St George State High School,2143,Darling Downs South West,Balonne (S),LOTE,Secondary,No,S
St George State School,0134,Darling Downs South West,Balonne (S),LOTE,Primary,No,P
St Helens State School,0236,North Coast,Fraser Coast (R),Japanese,Primary,No,P
St Lawrence State School,0103,Central Queensland,Isaac (R),Japanese,Primary,No,P
Stafford Heights State School,1016,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Stafford State School,0487,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Stanthorpe State High School,2064,Darling Downs South West,Southern Downs (R),Italian,Secondary,No,S
Stanthorpe State School,0132,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Stanwell State School,0129,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Stonehenge State School,0933,Central Queensland,Barcoo (S),Japanese,Primary,No,P
Strathpine State School,1245,North Coast,Moreton Bay (R),German,Primary,No,P
Strathpine West State School,1910,North Coast,Moreton Bay (R),French,Primary,No,P
Stretton State College,5554,Metropolitan,Brisbane (C),Chinese,Combined,No,P/S
Stuart State School,0636,North Queensland,Townsville (C),Chinese,Primary,No,P
Sunbury State School,0622,North Coast,Fraser Coast (R),Japanese,Primary,No,P
Sunnybank Hills State School,1889,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Sunnybank State High School,2080,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Sunnybank State High School,2080,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Sunnybank State School,0062,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Sunset State School,0965,North Queensland,Mount Isa (C),Japanese,Primary,No,P
Sunshine Beach State High School,2108,North Coast,Sunshine Coast (R),Italian,Secondary,No,S
Sunshine Beach State School,1917,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Surat State School,0142,Darling Downs South West,Maranoa (R),Japanese,Combined,No,P/S
Surfers Paradise State School,1295,South East,Gold Coast (C),French,Primary,No,P
Swayneville State School,1595,Central Queensland,Mackay (R),Japanese,Primary,No,P
Taabinga State School,1096,Darling Downs South West,South Burnett (R),Japanese,Primary,No,P
Tagai State College - Badu Island Campus,1940,Far North Queensland,Torres Strait Island (R),LOTE,Primary,No,P
Tagai State College - Darnley Island Campus,1944,Far North Queensland,Torres Strait Island (R),LOTE,Primary,No,P
Tagai State College - Dauan Island Campus,1950,Far North Queensland,Torres Strait Island (R),LOTE,Primary,No,P
Tagai State College - Horn Island Campus,1995,Far North Queensland,Torres (S),LOTE,Primary,No,P
Tagai State College - Mabuiag Island Campus,1942,Far North Queensland,Torres Strait Island (R),LOTE,Primary,No,P
Tagai State College - Poruma Campus,1951,Far North Queensland,Torres Strait Island (R),LOTE,Primary,No,P
Tagai State College - Saibai Island Campus,1946,Far North Queensland,Torres Strait Island (R),LOTE,Primary,No,P
Tagai State College - St Pauls Campus,1953,Far North Queensland,Torres Strait Island (R),LOTE,Primary,No,P
Tagai State College - Warraber Island Campus,1948,Far North Queensland,Torres Strait Island (R),LOTE,Primary,No,P
Tagai State College - Yam Island Campus,1947,Far North Queensland,Torres Strait Island (R),LOTE,Primary,No,P
